accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_018228765.1	0	99.38	0.91	Specific	99.15	0.19	417	f__Halobacteriaceae (UID96)	263	0	2581057	85.41398892058429	1	2082180	68.90483218722491	3021820	RS_GCF_018228765.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ruber	type strain of species	LPSN	f	1	1	3021820	3021820	3021820	2	2906	NZ_CP073695.1	3021820	2	118	NZ_CP073695.1	2910	5168	0	98.763	AP017569.8384.11296	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum trapanicum	3021820	3021820	t	f	f	3021820	3021820	Complete Genome	ASM1822876v1	na	PRJNA224116	SAMN18559506	none	none	South Korea: Yellow sea; Youngheungdo Island	2021-05-03	GCA_018228765.1	none	full	na	sea shore water	none	1	0	Halorubrum ruber	none	representative genome	6	1	1	3021820	3021820	3021820	2021/05/03	0	2982524	2	MBLA0099	Incheon National University	2982524	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ruber	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ruber	0	3021820	11	48	assembly from type material	3021820	0	na	2960	1	3021820	2	none	none	none	none	none	none	1469	NZ_CP073695.1	1469	2641	0	99.115	AB663422.1.1470	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum terrestre	0	19	48	0
GB_GCA_041672185.1	0	85.24	1.39	Specific	84.97	2.04	228	p__Euryarchaeota (UID49)	153	83.33	2530601	76.35295168337886	401	1395678	42.11020816776522	3314346	RS_GCF_000970205.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	not type material	none	f	91	91	41960	41960	13212	1	471	JBAZAC010000074.1	13212	2	117	JBAZAC010000074.1	471	870	0	100	CP009512.41106.43999	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei S-6	8265	8265	f	f	t	11305	11305	Contig	ASM4167218v1	na	PRJNA823399	SAMN39891852	401	11305	none	2024-08-30	GCA_041672185.1	derived from metagenome	full	SO_2017_CLC_72	none	none	0	0	Methanosarcina sp.	none	na	2	none	none	none	none	none	2024/08/30	0	2213	0	SO_2017_CLC_72	University of Waterloo	2213	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;x__unclassified Methanosarcina;s__Methanosarcina sp.	0	3314346	11	52	na	3314346	0	JBAZAC000000000.1	3108	401	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	52	0
RS_GCF_000591035.1	0	99.95	0.47	Specific	97.15	0.63	245	c__Thermoprotei (UID148)	158	0	1420620	89.01161282561213	1	905440	56.73204285229142	1595994	RS_GCF_000591035.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum camini	type strain of species	LPSN	f	1	1	1595994	1595994	1595994	1	3837	NC_022521.1	none	0	none	none	2276	4191	0	99.912	BBBZ01000032.1.2283	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Acidilobaceae;Aeropyrum;Aeropyrum camini SY1 = JCM 12091	1595994	1595994	f	f	t	1595994	1595994	Complete Genome	ASM59103v1	na	PRJNA224116	SAMD00061006	none	none	none	2013-09-27	GCA_000591035.1	none	full	na	none	none	1	0	Aeropyrum camini SY1 = JCM 12091	none	representative genome	3	1	1	1595994	1595994	1595994	2013/09/27	0	229980	1	SY1	Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	1198449	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum camini	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum;s__Aeropyrum camini;x__Aeropyrum camini SY1 = JCM 12091	0	1595994	11	46	assembly from type material	1595994	0	na	1634	1	1595994	1	none	none	none	none	none	none	1649	NC_022521.1	1600	2924	0	99.688	BBBZ01000015.6.1635	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Acidilobaceae;Aeropyrum;Aeropyrum camini SY1 = JCM 12091	0	19	46	0
RS_GCF_001542905.1	0	99.16	0.01	Specific	97.92	0	417	f__Halobacteriaceae (UID96)	263	0	2872127	86.35976029611187	3	2260596	67.9721087146736	3325770	RS_GCF_001542905.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum aethiopicum	type strain of species	LPSN	f	1	1	3045622	3045622	3045622	2	2903	NZ_LOAJ01000001.1-#2	3045622	2	115	NZ_LOAJ01000001.1	2898	5352	0	100	LOAJ01000001.2491062.2493968	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sp. SAH-A6	1108590	1108590	t	f	f	3045622	3045622	Contig	ASM154290v1	na	PRJNA224116	SAMN04278861	3	3045622	South Korea	2016-01-29	GCA_001542905.1	none	full	na	rock salt obtained from Danakil depression in Ethiopia	none	0	0	Halorubrum aethiopicum	3204	representative genome	6	none	none	none	none	none	2016/01/29	0	1758255	2	SAH-A6	Silla university	1758255	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum aethiopicum	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum aethiopicum	0	3325770	11	49	assembly from type material	3325770	0	LOAJ00000000.1	3255	3	3045622	2	1468	2579	0	98.365	660434	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum;s__	1470	NZ_LOAJ01000001.1	1470	2619	0	98.844	JQ237124.1.1470	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum rubrum	0	19	49	0
RS_GCF_000969965.1	0	99.98	0.55	Specific	99.84	0	228	p__Euryarchaeota (UID49)	153	0	3075657	74.33904949004638	1	1724959	41.692494471685535	4137337	RS_GCF_000969965.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp000969965	not type material	none	f	1	1	4137337	4137337	4137337	3	2890	NZ_CP009503.1	4137337	3	117	NZ_CP009503.1	2890	5337	0	100	CP009504.42645.45544	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp. WH1	4137337	4137337	t	f	f	4137337	4137337	Complete Genome	ASM96996v1	na	PRJNA224116	SAMN03074594	none	none	none	2015-04-07	GCA_000969965.1	none	full	na	none	none	1	0	Methanosarcina sp. WWM596	3639	na	9	1	1	4137337	4137337	4137337	2015/04/07	0	1434103	3	WWM596	University of Illinois at Urbana-Champaign	1434103	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;x__unclassified Methanosarcina;s__Methanosarcina sp. WWM596	0	4137337	11	58	na	4137337	0	na	3668	1	4137337	3	none	none	none	none	none	none	1478	NZ_CP009503.1	1478	2730	0	100	CP009503.3059065.3060543	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp. WWM596	0	19	58	0
RS_GCF_038727035.1	0	99.84	2.89	Specific	99.77	2.53	245	c__Thermoprotei (UID148)	158	100	1342030	88.73054682448273	28	683593	45.2027166872867	1512478	RS_GCF_038881575.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus sp038881575	not type material	none	f	4	4	253062	253062	30339	2	2761	NZ_JAVYWQ010000012.1	none	0	none	none	2761	5022	0	99.493	CP003321.1078357.1081451	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus amylolyticus DSM 16532	54010	58172	f	f	t	140583	140583	Scaffold	ASM3872703v1	na	PRJNA224116	SAMN36036931	28	140583	none	2024-04-29	GCA_038727035.1	derived from metagenome	full	DRTY-2_202007_bins_7	none	none	0	0	Desulfurococcus sp.	none	na	4	26	4	140583	68973	26857	2024/04/29	2	51678	1	DRTY-2_202007_bins_7	The University of Texas at Austin	51678	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;x__unclassified Desulfurococcus;s__Desulfurococcus sp.	195	1512478	11	48	na	1512283	0	JAVYWQ000000000.1	1624	26	30339	1	none	none	none	none	none	none	1679	NZ_JAVYWQ010000012.1	991	1797	0	99.395	CP003321.1081655.1083145	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus amylolyticus DSM 16532	195	19	48	0
RS_GCF_030019315.1	0	99.98	0.49	Specific	100	0.65	228	p__Euryarchaeota (UID49)	153	0	2120590	89.5006157786202	37	1247700	52.67993383025383	2369358	RS_GCF_000251105.1	f	d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella conradii	not type material	none	f	9	7	185421	232183	159163	1	221	NZ_JASEFF010000006.1	159163	2	115	NZ_JASEFF010000006.1	221	409	8.17e-113	100	CP003243.516640.519547	Archaea;Halobacteriota;Methanocellia;Methanocellales;Methanocellaceae;Methanocella;Methanocella conradii HZ254	64012	87754	f	f	t	106050	149949	Scaffold	ASM3001931v1	na	PRJNA224116	SAMN34587887	37	106050	Russia: Yessentuki mineral water deposit	2023-05-15	GCA_030019315.1	derived from metagenome	full	Yes49-01	groundwater	44.11401979 N 42.90694440 E	0	0	Methanocella conradii	none	na	3	27	7	149949	106050	59226	2023/05/15	10	1175444	0	Yes49-01	Research Center of Biotechnology RAS	1175444	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella conradii	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella conradii	904	2369358	11	47	na	2368454	0	JASEFF000000000.1	2526	27	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	904	19	47	0
RS_GCF_030539875.1	0	99.99	0.91	Specific	100	1.2	188	p__Euryarchaeota (UID3)	125	50	1606545	88.25094977664592	43	594805	32.6776792669889	1820428	RS_GCF_030539875.1	t	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella sp030539875	not type material	none	f	8	8	178639	178639	none	0	none	none	none	0	none	none	none	none	none	none	none	none	42330	45510	f	f	t	78010	78010	Scaffold	ASM3053987v1	na	PRJNA224116	SAMN36400058	43	78010	Germany: Zoo Saarbruecken	2023-07-25	GCA_030539875.1	derived from metagenome	full	S12M_St_64	feces	49.2307 N 7.0407 E	0	0	Methanobrevibacter sp.	none	na	3	40	8	78010	45219	30525	2023/07/25	3	66852	0	S12M_St_64	Center for Bioinformatics	66852	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;x__unclassified Methanobrevibacter;s__Methanobrevibacter sp.	210	1820428	11	24	na	1820218	0	JAUNXI000000000.1	1814	40	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	210	12	24	0
RS_GCF_021504015.1	0	98.97	0.01	Specific	99.42	0	359	f__Halobacteriaceae (UID84)	235	0	1993106	89.11846715445962	78	1498798	67.01629533711191	2236468	RS_GCF_008124605.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	not type material	none	f	14	14	182508	182508	23868	1	2898	NZ_JAHTKW010000048.1	23868	1	117	NZ_JAHTKW010000048.1	2898	5347	0	99.965	AM774415.1865624.1868534	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium salinarum R1	28672	28672	t	f	f	55773	55773	Contig	ASM2150401v1	na	PRJNA224116	SAMN20014181	78	55773	Tunisia: Sfax	2022-01-18	GCA_021504015.1	none	full	na	solar saltern sediment	34.65 N 10.7 E	0	0	Halobacterium salinarum	none	na	3	none	none	none	none	none	2022/01/18	0	2242	1	AS8	National Engineering School in Sfax, UR: Costal and Urban Environments	2242	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	0	2236468	11	47	na	2236468	0	JAHTKW000000000.1	2383	78	23868	1	none	none	none	none	none	none	1473	NZ_JAHTKW010000048.1	1473	2721	0	100	AE004437.1875505.1876977	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;Halobacterium salinarum NRC-1	0	19	47	0
GB_GCA_009782125.1	0	95.15	0.13	Specific	93.82	2.02	187	p__Euryarchaeota (UID3)	124	33.33	1149963	91.26922271041805	87	620020	49.209186265048	1259968	RS_GCF_000800805.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma termitum	not type material	none	f	19	19	52379	52379	52379	1	2888	WQUK01000033.1	17715	1	106	WQUK01000087.1	2886	5330	0	100	CP010070.159804.162705	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum	14482	14482	t	f	f	21886	21886	Contig	ASM978212v1	na	PRJNA560329	SAMN12581695	87	21886	Kenya: Kakamega	2019-12-20	GCA_009782125.1	derived from metagenome	full	Cu122P5bin30	P5 gut compartment	0.1730 N 34.5122 E	0	0	Candidatus Methanoplasma sp.	none	na	3	none	none	none	none	none	2019/12/20	0	2604147	1	Cu122P5bin30	Max Planck Institute for Terrestrial Microbiology	2604147	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;x__unclassified Candidatus Methanoplasma;s__Candidatus Methanoplasma sp.	0	1259968	11	44	na	1259968	0	WQUK00000000.1	1296	87	27042	1	none	none	none	none	none	none	1469	WQUK01000039.1	1469	2713	0	100	CP010070.1070956.1072425	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum	0	19	44	0
RS_GCF_031624555.1	0	99.99	2.87	Specific	99.13	0.6	395	f__Halobacteriaceae (UID85)	250	50	3762847	88.2843354509453	29	2766879	64.9173716113093	4262191	RS_GCF_014647235.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula pellucida	not type material	none	f	2	2	1643875	1643875	1009	6	1004	NZ_JAMQOR010000019.1	917701	2	117	NZ_JAMQOR010000002.1	1004	1639	0	96.116	CP010529.11.2911	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Haloarcula sp. CBA1115	146970	163930	f	f	t	917701	917701	Scaffold	ASM3162455v1	na	PRJNA224116	SAMN28864585	29	917701	none	2023-09-18	GCA_031624555.1	none	full	na	none	none	0	0	Haloarcula sp. S1AR25-4	none	na	11	26	2	917701	694942	69947	2023/09/18	3	2950538	3	S1AR25-4	University of Sevilla, Spain	2950538	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;x__unclassified Haloarcula;s__Haloarcula sp. S1AR25-4	36	4262191	11	78	na	4262155	0	JAMQOR000000000.1	4363	26	694942	2	none	none	none	none	none	none	1471	NZ_JAMQOR010000003.1	1471	2717	0	100	AB766179.1.1471	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicroarcula;Halomicroarcula pellucida	36	19	77	0
RS_GCF_934772625.1	0	99.94	0.4	Specific	100	0	188	p__Euryarchaeota (UID3)	125	0	1638743	90.73208300159345	18	561832	31.10688354241712	1806134	RS_GCF_000016525.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii	not type material	none	f	4	4	366481	366481	none	0	none	none	none	0	none	none	none	none	none	none	none	none	100340	100340	f	f	t	138182	138182	Contig	ERR7738269_bin.102	na	PRJNA224116	SAMEA13494885	18	138182	none	2022-04-15	GCA_934772625.1	derived from metagenome	full	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_14_2337.102	human feces	none	0	0	uncultured Methanobrevibacter sp.	none	na	0	none	none	none	none	none	2022/04/15	0	253161	0	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_14_2337.102	stanford university school of medicine	253161	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;x__environmental samples;s__uncultured Methanobrevibacter sp.	0	1806134	11	34	na	1806134	0	CAKVML000000000.1	1729	18	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	34	0
GB_GCA_028693735.1	0	82.44	0.78	Specific	88.95	0.98	234	p__Euryarchaeota (UID54)	153	100	1693965	84.69553974272823	217	1228923	61.53648556080326	2000064	RS_GCF_000304355.2	f	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus bourgensis	not type material	none	f	37	34	65750	65750	none	0	none	none	none	0	none	none	none	none	none	none	none	none	9203	10695	f	f	t	14331	17023	Scaffold	ASM2869373v1	na	PRJNA900590	SAMN32734472	217	14331	USA	2023-02-17	GCA_028693735.1	derived from metagenome	full	STD2_150	NEUS_D2 leachate from a leachate well at an active municipal landfill in the North Eastern United States	38.96 N 75.67 W	0	0	Methanoculleus bourgensis	none	na	0	187	34	17023	7571	4363	2023/02/17	30	83986	0	STD2_150	University of Waterloo	83986	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis	3000	2000064	11	42	na	1997064	0	JAQUUU000000000.1	2122	187	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	3000	18	42	0
RS_GCF_023702125.1	0	99.23	0	Specific	99.3	0	417	f__Halobacteriaceae (UID96)	263	0	2644945	86.33955752749702	2	2115608	69.06028617670043	3063422	RS_GCF_023702125.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum hochsteinianum	type strain of species	LPSN	f	1	1	2962044	2962044	2962044	2	2902	NZ_CP098415.1	2962044	2	116	NZ_CP098415.1	2902	5171	0	98.863	AP017569.1616226.1619131	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum trapanicum	1531711	1531711	t	f	f	2962044	2962044	Complete Genome	ASM2370212v1	na	PRJNA224116	SAMN28671404	none	none	USA: Lake Peigneur; Louisiana	2022-06-11	GCA_023702125.1	none	full	na	underground brine	none	2	0	Halorubrum hochsteinianum	none	representative genome	6	2	1	2962044	2962044	2962044	2022/06/11	0	2949307	2	1-13-28	Jiangsu University	2949307	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum hochsteinianum	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum hochsteinianum	0	3063422	11	50	assembly from type material	3063422	0	na	3018	2	2962044	2	none	none	none	none	none	none	1471	NZ_CP098415.1-#2	1474	2527	0	97.761	CBVY010000010.61640.63106	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum sp. AJ67	0	19	50	0
RS_GCF_005485005.1	0	99.99	1.22	Specific	100	0.65	228	p__Euryarchaeota (UID49)	153	0	3114051	74.37902058717381	323	1716326	41.58751758531939	4186733	RS_GCF_000970205.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	not type material	none	f	21	1	191161	4186733	4186733	4	2891	NZ_CP029709.1	4186733	4	117	NZ_CP029709.1	2891	5334	0	99.965	CP009509.1353503.1356396	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei WWM610	12777	4186733	t	f	f	57424	4186733	Chromosome	ASM548500v1	na	PRJNA224116	SAMN09222529	323	57424	Russia	2019-05-17	GCA_005485005.1	none	full	na	Arctic permafrost	none	1	0	Methanosarcina mazei	none	na	12	1	1	4186733	4186733	4186733	2019/05/17	322	2209	4	JL01	Centre for Genomic Regulation	2209	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	59711	4186733	11	59	na	4127022	0	na	3535	1	4186733	4	none	none	none	none	none	none	1475	NZ_CP029709.1	1470	2715	0	100	CP009511.40604.42073	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei SarPi	59711	19	59	0
RS_GCF_013402875.1	0	99.83	4.8	Specific	99.38	2.15	417	f__Halobacteriaceae (UID96)	263	0	3591568	84.33375481801606	2	2923735	68.652340883662	4258755	RS_GCF_013402875.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorarum;s__Halorarum salinum	type strain of species	LPSN	f	1	1	4019272	4019272	4019272	1	2907	NZ_CP058579.1	4019272	1	116	NZ_CP058579.1	2902	4473	0	94.521	ASGZ01000037.96628.99526	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Candidatus Halobonum;Candidatus Halobonum tyrrellensis G22	2129377	2129377	t	f	f	4019272	4019272	Complete Genome	ASM1340287v1	na	PRJNA224116	SAMN15183787	none	none	China: Xinjiang Autonomous Region	2020-07-12	GCA_013402875.1	none	full	na	saline soil sample	none	2	0	Halorarum salinum	none	representative genome	3	2	1	4019272	4019272	4019272	2020/07/12	0	2743089	1	NJ-3-1	Jiangsu University	2743089	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorarum;s__Halorarum salinum	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorarum;s__Halorarum salinum	0	4258755	11	48	assembly from type material	4258755	0	na	4294	2	4019272	1	none	none	none	none	none	none	1472	NZ_CP058579.1	1472	2713	0	99.932	KY114620.1.1472	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Candidatus Halobonum;Halobaculum sp.	0	19	47	0
