Marker Id	Name	Description	Length (bp)	Single copy (%)	Ubiquity (%)
TIGR_TIGR02350	prok_dnaK	chaperone protein DnaK	596	80.07	88.42
TIGR_TIGR02386	rpoC_TIGR	DNA-directed RNA polymerase, beta' subunit	1147	79.50	80.12
TIGR_TIGR02397	dnaX_nterm	DNA polymerase III, subunit gamma and tau	355	90.38	93.14
TIGR_TIGR02432	lysidine_TilS_N	tRNA(Ile)-lysidine synthetase	189	87.08	88.96
TIGR_TIGR02729	Obg_CgtA	Obg family GTPase CgtA	329	91.69	93.17
TIGR_TIGR03263	guanyl_kin	guanylate kinase	180	86.33	86.96
TIGR_TIGR03594	GTPase_EngA	ribosome-associated GTPase EngA	432	89.64	90.27
TIGR_TIGR03625	L3_bact	50S ribosomal protein uL3	202	84.07	84.76
TIGR_TIGR03632	uS11_bact	ribosomal protein uS11	117	87.29	87.90
TIGR_TIGR03654	L6_bact	ribosomal protein uL6	175	85.03	85.55
TIGR_TIGR03723	T6A_TsaD_YgjD	tRNA threonylcarbamoyl adenosine modification protein TsaD	314	91.02	91.82
TIGR_TIGR03725	T6A_YeaZ	tRNA threonylcarbamoyl adenosine modification protein YeaZ	212	85.14	85.63
TIGR_TIGR03953	rplD_bact	50S ribosomal protein uL4	188	83.87	84.54
