,UHGG2_5genus_50_fna/MGYG000000074.fna,UHGG2_5genus_50_fna/MGYG000000172.fna,UHGG2_5genus_50_fna/MGYG000000293.fna,UHGG2_5genus_50_fna/MGYG000000534.fna,UHGG2_5genus_50_fna/MGYG000000650.fna,UHGG2_5genus_50_fna/MGYG000000694.fna,UHGG2_5genus_50_fna/MGYG000000695.fna,UHGG2_5genus_50_fna/MGYG000000707.fna,UHGG2_5genus_50_fna/MGYG000000774.fna,UHGG2_5genus_50_fna/MGYG000001010.fna,UHGG2_5genus_50_fna/MGYG000001203.fna,UHGG2_5genus_50_fna/MGYG000001246.fna,UHGG2_5genus_50_fna/MGYG000001250.fna,UHGG2_5genus_50_fna/MGYG000001311.fna,UHGG2_5genus_50_fna/MGYG000001415.fna,UHGG2_5genus_50_fna/MGYG000001444.fna,UHGG2_5genus_50_fna/MGYG000001493.fna,UHGG2_5genus_50_fna/MGYG000001564.fna,UHGG2_5genus_50_fna/MGYG000001663.fna,UHGG2_5genus_50_fna/MGYG000001731.fna,UHGG2_5genus_50_fna/MGYG000001759.fna,UHGG2_5genus_50_fna/MGYG000001763.fna,UHGG2_5genus_50_fna/MGYG000001971.fna,UHGG2_5genus_50_fna/MGYG000002133.fna,UHGG2_5genus_50_fna/MGYG000002566.fna,UHGG2_5genus_50_fna/MGYG000002640.fna,UHGG2_5genus_50_fna/MGYG000002642.fna,UHGG2_5genus_50_fna/MGYG000002731.fna,UHGG2_5genus_50_fna/MGYG000002733.fna,UHGG2_5genus_50_fna/MGYG000002819.fna,UHGG2_5genus_50_fna/MGYG000002946.fna,UHGG2_5genus_50_fna/MGYG000003234.fna,UHGG2_5genus_50_fna/MGYG000003406.fna,UHGG2_5genus_50_fna/MGYG000003467.fna,UHGG2_5genus_50_fna/MGYG000003472.fna,UHGG2_5genus_50_fna/MGYG000003539.fna,UHGG2_5genus_50_fna/MGYG000003556.fna,UHGG2_5genus_50_fna/MGYG000003605.1.fna,UHGG2_5genus_50_fna/MGYG000003680.fna,UHGG2_5genus_50_fna/MGYG000003763.fna,UHGG2_5genus_50_fna/MGYG000003787.fna,UHGG2_5genus_50_fna/MGYG000003902.fna,UHGG2_5genus_50_fna/MGYG000004241.fna,UHGG2_5genus_50_fna/MGYG000004491.fna,UHGG2_5genus_50_fna/MGYG000004553.fna,UHGG2_5genus_50_fna/MGYG000004621.fna,UHGG2_5genus_50_fna/MGYG000004627.fna,UHGG2_5genus_50_fna/MGYG000004658.fna,UHGG2_5genus_50_fna/MGYG000004858.fna,UHGG2_5genus_50_fna/MGYG000004894.fna
UHGG2_5genus_50_fna/MGYG000002640.fna,74.5556,79.0906,87.0371,,,74.489,74.5963,74.4627,75.3885,86.613,73.2708,76.7361,74.7045,75.1771,74.8137,82.0789,77.3202,75.8652,74.7315,,,,74.4627,74.4627,,100.0,86.4421,,74.5419,82.5108,78.2489,,78.4628,74.8137,74.5686,74.8137,74.5695,74.6364,,74.3585,74.489,86.5641,74.4103,76.7144,74.6492,74.3585,,74.3844,89.3569,87.2338
UHGG2_5genus_50_fna/MGYG000002642.fna,74.4627,74.3844,91.7038,74.3844,74.5154,74.6222,74.5033,74.5963,74.4631,94.5077,,75.6032,74.4631,74.3714,74.4627,83.7238,74.3844,74.599,,74.4364,,,74.4899,,,86.4421,100.0,,,83.6785,81.9051,,79.6469,,74.4103,74.5293,74.6763,74.4103,74.5968,74.7036,74.786,94.1839,,74.4367,74.3585,,,,91.1377,93.6046
UHGG2_5genus_50_fna/MGYG000002731.fna,74.5154,74.5605,,,,90.2603,,74.3585,,74.5154,91.6214,,,75.248,74.7584,74.5154,74.4627,,,92.9314,92.3656,74.4106,74.4364,74.4627,93.6581,,,100.0,93.7709,74.5154,74.5096,92.5288,,74.786,74.5154,,74.8143,,,,93.4646,,74.5419,,93.5661,74.5686,,75.6648,,92.9471
UHGG2_5genus_50_fna/MGYG000002733.fna,74.8807,76.2254,,74.5495,,91.489,74.5954,74.5154,74.6492,74.7584,91.9026,75.9981,,75.0501,74.6929,74.6369,75.2047,75.8111,74.5072,93.8748,93.0631,74.5541,74.4458,74.4103,93.3657,74.5419,,93.7709,100.0,74.7584,74.9105,94.235,,74.3844,74.4368,74.5791,74.8143,74.3973,74.489,,94.4774,,74.7309,74.5033,94.6339,75.0243,74.6222,75.03,,
UHGG2_5genus_50_fna/MGYG000002819.fna,,74.3844,83.0118,74.5419,,74.786,74.3585,74.8137,74.3714,83.9845,74.7309,74.4194,74.4364,74.561,74.3844,89.5329,74.3973,75.2291,,74.6763,74.9826,74.8976,74.5154,,74.5686,82.5108,83.6785,74.5154,74.7584,100.0,91.2671,74.7309,79.4883,,,,,74.6803,74.3585,74.4892,74.8695,84.0844,74.4103,74.6492,74.6763,74.786,74.5419,74.3844,85.2968,85.1967
UHGG2_5genus_50_fna/MGYG000002946.fna,74.9077,86.6378,83.2294,74.5443,76.7377,75.3255,74.3585,74.3844,76.9483,80.005,75.1956,77.0067,76.5781,77.803,75.2767,89.775,77.6136,77.8076,74.8412,74.8331,75.0058,74.4364,77.6717,75.2696,75.5071,78.2489,81.9051,74.5096,74.9105,91.2671,100.0,75.6018,,76.9445,74.5154,74.4498,74.5869,74.5154,74.5174,,75.4611,86.5463,74.5805,74.4627,75.7705,75.0071,74.5022,74.4234,,74.3585
UHGG2_5genus_50_fna/MGYG000003234.fna,74.4765,76.8327,,74.4723,74.5686,91.2647,74.4627,74.5154,74.5154,74.7309,91.629,74.6492,,75.0574,74.5113,74.5576,74.6946,75.7709,74.534,93.9574,93.1661,75.2639,74.489,74.3844,92.9742,,,92.5288,94.235,74.7309,75.6018,100.0,74.5154,,74.3975,,74.6779,74.5686,75.3786,,94.1348,,74.6099,74.5033,94.2541,74.4458,74.1054,74.8111,,93.81
UHGG2_5genus_50_fna/MGYG000003406.fna,74.786,74.4495,77.5343,74.4627,74.4456,,76.6817,74.4234,74.8137,79.8136,,74.6382,,74.6823,,79.2507,74.489,,,,,,74.4627,74.3844,,78.4628,79.6469,,,79.4883,,74.5154,99.9999,,,74.4103,74.5331,74.4765,,,,79.7669,74.4364,74.3844,,74.5154,74.4364,74.4103,78.9352,80.2088
UHGG2_5genus_50_fna/MGYG000003467.fna,76.4624,75.7825,74.5954,75.6667,,74.6237,75.8704,74.8681,,74.6492,,74.4629,,74.4364,77.1585,74.8695,74.5428,74.4103,76.7748,74.489,74.489,75.8118,74.4103,74.7315,74.786,74.8137,,74.786,74.3844,,76.9445,,,100.0,76.378,76.7783,78.6089,76.4535,75.7302,75.274,,74.5865,75.923,75.3608,,74.8138,75.8278,76.1178,,74.489
UHGG2_5genus_50_fna/MGYG000003472.fna,76.3176,74.5066,,76.0431,74.4103,75.1614,76.7232,76.2449,,,74.3585,74.6369,,75.6761,75.8485,74.6801,74.6259,75.1283,76.3079,74.3585,74.3714,75.7767,,75.3636,74.4627,74.5686,74.4103,74.5154,74.4368,,74.5154,74.3975,,76.378,100.0,77.3944,77.7929,86.3981,76.6404,75.8273,74.4103,,76.2836,75.933,74.6135,74.8461,75.3231,76.5675,,
UHGG2_5genus_50_fna/MGYG000003539.fna,76.8084,75.7713,74.5154,75.8477,74.4364,74.6089,76.1496,75.4532,75.8357,74.6492,74.5154,75.8359,,74.5287,76.8341,74.8695,74.5023,74.5419,76.4081,74.6369,74.5287,75.6045,74.4502,75.7729,74.6364,74.8137,74.5293,,74.5791,,74.4498,,74.4103,76.7783,77.3944,100.0,77.5747,78.3391,75.4935,75.7767,,74.4635,76.7191,76.6567,74.786,74.5273,74.7699,76.6636,,
UHGG2_5genus_50_fna/MGYG000003556.fna,76.2995,,,75.1612,74.5419,74.489,76.6393,76.2528,75.1369,74.3844,74.8976,75.5002,74.3585,75.613,76.2421,,75.0613,74.5159,75.9374,74.6059,74.6077,75.3514,74.5419,75.7278,74.5419,74.5695,74.6763,74.8143,74.8143,,74.5869,74.6779,74.5331,78.6089,77.7929,77.5747,100.0,77.8526,75.5084,74.4807,74.4364,,75.6806,76.6195,,74.4543,74.9913,76.1415,,
UHGG2_5genus_50_fna/MGYG000003605.1.fna,76.3252,76.5376,74.489,75.6856,,75.6534,75.866,75.9018,,,74.3844,,74.5154,76.5507,76.179,81.1478,74.3844,75.6775,75.621,74.4367,74.5438,75.371,74.4627,76.177,74.489,74.6364,74.4103,,74.3973,74.6803,74.5154,74.5686,74.4765,76.4535,86.3981,78.3391,77.8526,100.0,76.707,75.1233,74.4364,74.4103,76.0208,76.8024,74.5174,75.535,75.3258,76.1629,,
UHGG2_5genus_50_fna/MGYG000003680.fna,75.6639,75.8747,74.4627,77.2311,74.3844,74.477,77.2554,76.5173,75.3691,74.5785,75.5239,76.2458,74.3585,75.1497,76.1759,74.4761,75.7701,75.3426,75.8828,74.489,74.489,77.667,78.8211,76.4022,,,74.5968,,74.489,74.3585,74.5174,75.3786,,75.7302,76.6404,75.4935,75.5084,76.707,100.0,77.3768,74.623,74.4235,75.8058,77.8587,74.5433,76.0782,76.3857,75.9037,,
UHGG2_5genus_50_fna/MGYG000003763.fna,75.0514,77.0136,74.4627,76.4816,74.6492,76.8926,76.7311,75.5296,74.3844,74.3585,74.6498,74.4103,74.3844,74.7584,80.3929,73.9641,74.4104,74.3844,75.7839,74.7309,74.5168,76.4172,75.7159,75.8625,74.4103,74.3585,74.7036,,,74.4892,,,,75.274,75.8273,75.7767,74.4807,75.1233,77.3768,100.0,,74.3585,75.787,76.4204,74.4364,75.1012,77.7859,76.7537,,74.489
UHGG2_5genus_50_fna/MGYG000003787.fna,74.9391,75.53,74.5419,74.5195,74.4103,91.1043,74.5559,74.3844,74.4364,74.8695,91.8401,,,75.2893,74.9011,74.8695,74.5023,74.5156,74.5844,94.4001,93.2805,74.489,74.6403,,93.3386,74.489,74.786,93.4646,94.4774,74.8695,75.4611,94.1348,,,74.4103,,74.4364,74.4364,74.623,,100.0,,74.6631,74.5033,94.4567,74.9605,,74.9672,,83.7847
UHGG2_5genus_50_fna/MGYG000003902.fna,,76.603,92.8558,74.6222,74.3585,74.3585,74.5452,74.4364,75.6932,93.8007,,74.5789,74.4895,75.0834,74.5686,84.3331,75.9035,77.0761,74.5686,,74.4627,74.8137,74.4631,74.5954,,86.5641,94.1839,,,84.0844,86.5463,,79.7669,74.5865,,74.4635,,74.4103,74.4235,74.3585,,100.0,74.4103,,74.3585,,74.6763,74.4367,92.2508,94.4788
UHGG2_5genus_50_fna/MGYG000004241.fna,77.2113,74.7875,74.6492,75.1476,,74.5435,75.067,75.8425,74.4895,74.5028,74.6766,,,74.6232,77.2783,74.4103,74.3844,75.334,76.5641,74.5954,74.7445,75.7447,74.6222,75.3894,74.663,74.4103,,74.5419,74.7309,74.4103,74.5805,74.6099,74.4364,75.923,76.2836,76.7191,75.6806,76.0208,75.8058,75.787,74.6631,74.4103,100.0,75.8025,74.4978,75.5464,75.1056,77.5146,74.7584,74.5154
UHGG2_5genus_50_fna/MGYG000004491.fna,75.3018,74.9489,74.3844,77.6908,75.7311,74.5033,78.5238,78.0459,75.8092,74.4629,74.3844,76.174,74.481,76.0083,76.332,74.4364,76.3986,74.4191,76.2828,74.5073,74.5073,78.5689,75.7049,77.1481,74.3844,76.7144,74.4367,,74.5033,74.6492,74.4627,74.5033,74.3844,75.3608,75.933,76.6567,76.6195,76.8024,77.8587,76.4204,74.5033,,75.8025,100.0,74.5033,76.1175,76.0466,75.0711,,75.7297
UHGG2_5genus_50_fna/MGYG000004553.fna,74.4458,75.6258,,74.5343,74.4627,91.5234,74.6492,74.4761,74.3585,74.5174,92.0501,74.6492,,75.0385,74.5884,74.6763,74.5038,74.5018,75.0394,94.0829,93.3174,75.7044,74.4766,74.3585,93.1267,74.6492,74.3585,93.5661,94.6339,74.6763,75.7705,94.2541,,,74.6135,74.786,,74.5174,74.5433,74.4364,94.4567,74.3585,74.4978,74.5033,100.0,74.4964,74.3585,74.4481,,93.81
UHGG2_5genus_50_fna/MGYG000004621.fna,75.3516,74.4607,74.4364,76.6952,74.786,74.5745,76.1691,76.0547,,,74.3844,74.4892,,75.4455,75.4213,74.786,75.6133,74.6763,74.9112,74.5808,74.5576,76.6444,75.7311,75.4587,75.4925,74.3585,,74.5686,75.0243,74.786,75.0071,74.4458,74.5154,74.8138,74.8461,74.5273,74.4543,75.535,76.0782,75.1012,74.9605,,75.5464,76.1175,74.4964,100.0,75.5786,75.0752,,
UHGG2_5genus_50_fna/MGYG000004627.fna,75.894,74.4364,74.4364,76.5535,,74.8143,76.8312,76.206,74.4544,74.4627,,74.5553,,74.4103,75.5656,74.5154,74.4364,74.1054,75.2466,74.8976,74.6901,76.3465,,76.1631,,,,,74.6222,74.5419,74.5022,74.1054,74.4364,75.8278,75.3231,74.7699,74.9913,75.3258,76.3857,77.7859,,74.6763,75.1056,76.0466,74.3585,75.5786,100.0,78.2162,,
